"id","highTeam.x","season.x","lowTeam.x","pred","lowTeamSeed","highTeamSeed","lowSeed","highSeed","lowTeamWins","lowTeamLosses","highTeamWins","highTeamLosses","lowTeamWinRate","highTeamWinRate","season.y","daynum","wteam","wscore","lteam","lscore","numot","lowTeamWon","lowTeam.y","highTeam.y","lhWinDiff","pred.algo","pred.lhWinDiff","pred.seeds"
"N_503_506","506","N","503",0.499864611409042,"X13","Y16a","13","16",22,12,20,9,0.647058823529412,0.689655172413793,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0425963488843814,0.452054794520548,0.457403651115619,0.59
"N_503_509","509","N","503",0.437820391183769,"X13","W14","13","14",22,12,24,7,0.647058823529412,0.774193548387097,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.127134724857685,0.34841628959276,0.372865275142315,0.53
"N_503_511","511","N","503",0.519932264248112,"X13","Y12","13","12",22,12,19,13,0.647058823529412,0.59375,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0533088235294118,0.556420233463035,0.553308823529412,0.47
"N_503_512","512","N","503",0.404298375916023,"X13","X06","13","06",22,12,24,9,0.647058823529412,0.727272727272727,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0802139037433155,0.407407407407407,0.419786096256685,0.29
"N_503_524","524","N","503",0.46843137254902,"X13","W15","13","15",22,12,22,8,0.647058823529412,0.733333333333333,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0862745098039215,0.4,0.413725490196079,0.56
"N_503_527","527","N","503",0.444663256606991,"X13","Y07","13","07",22,12,22,11,0.647058823529412,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0196078431372548,0.478260869565217,0.480392156862745,0.32
"N_503_535","535","N","503",0.365504543280727,"X13","X09","13","09",22,12,25,5,0.647058823529412,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.186274509803922,0.268292682926829,0.313725490196078,0.38
"N_503_536","536","N","503",0.392820391183769,"X13","Z08","13","08",22,12,24,7,0.647058823529412,0.774193548387097,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.127134724857685,0.34841628959276,0.372865275142315,0.35
"N_503_539","539","N","503",0.433526069518717,"X13","Z07","13","07",22,12,22,10,0.647058823529412,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0404411764705882,0.454545454545455,0.459558823529412,0.32
"N_503_547","547","N","503",0.596029411764706,"X13","Z16","13","16",22,12,16,16,0.647058823529412,0.5,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.147058823529412,0.647058823529412,0.647058823529412,0.59
"N_503_551","551","N","503",0.403625967657974,"X13","X07","13","07",22,12,23,8,0.647058823529412,0.741935483870968,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.094876660341556,0.389380530973451,0.405123339658444,0.32
"N_503_552","552","N","503",0.478526069518717,"X13","Y13","13","13",22,12,22,10,0.647058823529412,0.6875,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0404411764705882,0.454545454545455,0.459558823529412,0.5
"N_503_559","559","N","503",0.282420828650909,"X13","Z01","13","01",22,12,27,4,0.647058823529412,0.870967741935484,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.223908918406072,0.213592233009709,0.276091081593928,0.14
"N_503_561","561","N","503",0.484864611409042,"X13","Z14","13","14",22,12,20,9,0.647058823529412,0.689655172413793,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.0425963488843814,0.452054794520548,0.457403651115619,0.53
"N_503_565","565","N","503",0.563415261357753,"X13","Z15","13","15",22,12,16,13,0.647058823529412,0.551724137931034,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.0953346855983773,0.598326359832636,0.595334685598377,0.56
"N_503_569","569","N","503",0.407413034663729,"X13","Y11","13","11",22,12,26,7,0.647058823529412,0.787878787878788,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,-0.140819964349376,0.330472103004292,0.359180035650624,0.44
